--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:53:53 2023
--------------------------------------------------------------------------------
{'name': 'chrome.exe', 'pid': 11172, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 118.27734375}
{'name': 'igfxEMN.exe', 'pid': 11260, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.4453125}
{'name': 'svchost.exe', 'pid': 11288, 'username': None, 'vms': 2.6015625}
{'name': 'RiotClientServices.exe', 'pid': 11344, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 88.48828125}
{'name': 'svchost.exe', 'pid': 11428, 'username': None, 'vms': 5.28515625}
{'name': 'UserOOBEBroker.exe', 'pid': 11604, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.01953125}
{'name': 'NVIDIA Share.exe', 'pid': 11724, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 50.89453125}
{'name': 'EpicWebHelper.exe', 'pid': 11832, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 66.73046875}
{'name': 'svchost.exe', 'pid': 11860, 'username': None, 'vms': 1.47265625}
{'name': 'SearchIndexer.exe', 'pid': 11908, 'username': None, 'vms': 28.99609375}
{'name': 'svchost.exe', 'pid': 12008, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.59765625}
{'name': 'mcafee-security-ft.exe', 'pid': 12088, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.984375}
{'name': 'EpicGamesLauncher.exe', 'pid': 12160, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 189.19140625}
{'name': 'powershell.exe', 'pid': 12344, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 50.6015625}
{'name': 'NVIDIA Share.exe', 'pid': 12668, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 37.9609375}
{'name': 'nvcontainer.exe', 'pid': 12724, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 9.0703125}
{'name': 'DDVRulesProcessor.exe', 'pid': 12988, 'username': None, 'vms': 18.234375}
{'name': 'RuntimeBroker.exe', 'pid': 13020, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.1640625}
{'name': 'ZVMonNt.exe', 'pid': 13164, 'username': None, 'vms': 33.0}
{'name': 'msedgewebview2.exe', 'pid': 13244, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 17.16796875}
{'name': 'NVDisplay.Container.exe', 'pid': 13284, 'username': None, 'vms': 50.02734375}
{'name': 'RuntimeBroker.exe', 'pid': 13440, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 9.8984375}
{'name': 'chrome.exe', 'pid': 13580, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.39453125}
{'name': 'svchost.exe', 'pid': 13616, 'username': None, 'vms': 3.45703125}
{'name': 'chrome.exe', 'pid': 13672, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 33.03515625}
{'name': 'msedge.exe', 'pid': 13856, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.6171875}
{'name': 'msedge.exe', 'pid': 13972, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.15234375}
{'name': 'chrome.exe', 'pid': 14220, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 17.05078125}
{'name': 'taskhostw.exe', 'pid': 14384, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.51953125}
{'name': 'svchost.exe', 'pid': 14444, 'username': None, 'vms': 7.328125}
{'name': 'sihost.exe', 'pid': 14556, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.4140625}
{'name': 'RtkAudUService64.exe', 'pid': 14588, 'username': None, 'vms': 2.734375}
{'name': 'msedgewebview2.exe', 'pid': 14628, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 26.90625}
{'name': 'svchost.exe', 'pid': 14876, 'username': None, 'vms': 2.703125}
{'name': 'svchost.exe', 'pid': 14912, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 2.328125}
{'name': 'ServiceShell.exe', 'pid': 15012, 'username': None, 'vms': 61.73828125}
{'name': 'Code.exe', 'pid': 15284, 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 179.81640625}
