--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Sun Oct  1 16:59:27 2023
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 15880, 'name': 'WmiApSrv.exe', 'username': None, 'vms': 2.015625}
{'pid': 15928, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 197.96875}
{'pid': 16044, 'name': 'svchost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.66796875}
{'pid': 16120, 'name': 'XtuService.exe', 'username': None, 'vms': 95.6953125}
{'pid': 16132, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 16.953125}
{'pid': 16252, 'name': 'SystemSettings.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 93.7890625}
{'pid': 16268, 'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 86.25390625}
{'pid': 16288, 'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.23828125}
{'pid': 16332, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 342.33984375}
{'pid': 16396, 'name': 'NVIDIA Share.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 48.55859375}
{'pid': 16400, 'name': 'dwm.exe', 'username': None, 'vms': 164.2109375}
{'pid': 16556, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 73.4765625}
{'pid': 16560, 'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.37890625}
{'pid': 16608, 'name': 'WidgetService.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 4.68359375}
{'pid': 16652, 'name': 'utorrentie.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.0}
{'pid': 16664, 'name': 'explorer.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 159.0078125}
{'pid': 16804, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 42.3125}
{'pid': 17016, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 10.015625}
{'pid': 17224, 'name': 'SearchHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 280.99609375}
{'pid': 17232, 'name': 'update.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.1328125}
{'pid': 17344, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 15.7890625}
{'pid': 17348, 'name': 'svchost.exe', 'username': None, 'vms': 1.1484375}
{'pid': 17432, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 27.49609375}
{'pid': 17536, 'name': 'Dell.D3.WinSvc.exe', 'username': None, 'vms': 112.62109375}
{'pid': 17624, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 195.8671875}
{'pid': 17676, 'name': 'MicrosoftEdgeUpdate.exe', 'username': None, 'vms': 1.85546875}
{'pid': 17768, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 165.2265625}
{'pid': 17776, 'name': 'chrome.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 23.50390625}
{'pid': 17784, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 34.6171875}
{'pid': 18184, 'name': 'conhost.exe', 'username': None, 'vms': 5.30859375}
{'pid': 18188, 'name': 'svchost.exe', 'username': None, 'vms': 1.89453125}
{'pid': 18256, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 46.85546875}
{'pid': 18424, 'name': 'GoogleInputHandler.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 5.3359375}
{'pid': 18460, 'name': 'conhost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.234375}
{'pid': 18796, 'name': 'svchost.exe', 'username': None, 'vms': 3.02734375}
{'pid': 18940, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 85.08984375}
{'pid': 19100, 'name': 'Code.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 14.58984375}
{'pid': 19172, 'name': 'OCControl.Service.exe', 'username': None, 'vms': 107.25}
{'pid': 19324, 'name': 'vgtray.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.76953125}
{'pid': 19416, 'name': 'msedge.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 56.08203125}
{'pid': 19548, 'name': 'nvsphelper64.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.56640625}
{'pid': 19560, 'name': 'AWCC.Background.Server.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 35.63671875}
{'pid': 19568, 'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 11.12890625}
{'pid': 19628, 'name': 'powershell.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 53.42578125}
{'pid': 19748, 'name': 'utorrentie.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 3.9765625}
{'pid': 19908, 'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 1.046875}
{'pid': 19920, 'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 51.48828125}
{'pid': 20008, 'name': 'svchost.exe', 'username': None, 'vms': 21.3359375}
{'pid': 20388, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-6PR7CQU\\Aditya', 'vms': 6.26171875}
